Dimension,Phi_d,Pi_d,Energy_Density,,,,,,,
1,2.334280576,8.321203285,0.2805219986,,,,,,,
1.1,2.180777139,9.246502059,0.2358488783,,,,,,,
1.2,2.052108435,10.24824846,0.2002399184,,,,,,,
1.3,1.94258888,11.32714058,0.1714986113,,,,,,,
1.4,1.848152802,12.48391231,0.1480427574,,,,,,,
1.5,1.765815089,13.71933517,0.1287099606,,,,,,,
1.6,1.693333982,15.03422022,0.1126319794,,,,,,,
1.7,1.628992813,16.42942013,0.09915096213,,,,,Column 1,Column 2,Column 3
1.8,1.571454435,17.90583126,0.08776216041,,,,,Peak_Frequency_and_Amplitude_Analysis,,
1.9,1.519661579,19.46439595,0.0780739142,,,,,,,
2,1.472767069,21.10610484,0.06977919801,,,,,,Frequency,Amplitude
2.1,1.430083949,22.83199936,0.06263507312,,,,,1,604.48,3920.43
2.2,1.391049197,24.64317435,0.0564476466,,,,,,,
2.3,1.355196876,26.54078078,0.05106092724,,,,,,,
2.4,1.322137999,28.52602862,0.04634847761,,,,,,,
2.5,1.291545201,30.60018988,0.04220709761,,,,,,,
2.6,1.263140954,32.76460179,0.03855200079,,,,,,,
2.7,1.236688384,35.02067015,0.03531309876,,,,,,,
2.8,1.21198405,37.36987283,0.03243211599,,,,,,,
2.9,1.188852223,39.81376346,0.02986033269,,,,,,,
3,1.167140288,42.35397534,0.02755680615,,,,,,,
3.1,1.146715051,44.99222551,0.02548695999,,,,,,,
3.2,1.127459722,47.73031905,0.0236214579,,,,,,,
3.3,1.109271449,50.57015357,0.0219352992,,,,,,,
3.4,1.092059288,53.51372399,0.02040708825,,,,,,,
3.5,1.075742514,56.5631275,0.01901844119,,,,,,,
3.6,1.060249216,59.72056882,0.01775350164,,,,,,,
3.7,1.045515119,62.98836572,0.01659854335,,,,,,,
3.8,1.031482584,66.36895478,0.01554164273,,,,,,,
3.9,1.018099772,69.86489753,0.01457240772,,,,,,,
4,1.005319924,73.47888681,0.01368175224,,,,,,,
4.1,0.9931007488,77.21375356,0.01286170796,,,,,,,
4.2,0.981403897,81.07247381,0.01210526645,,,,,,,
4.3,0.970194509,85.05817624,0.01140624631,,,,,,,
4.4,0.959440823,89.17414988,0.01075918104,,,,,,,
4.5,0.9491138353,93.42385244,0.01015922391,,,,,,,
4.6,0.9391870043,97.81091888,0.009602067081,,,,,,,
4.7,0.9296359926,102.3391705,0.009083872653,,,,,,,
4.8,0.9204384404,107.0126247,0.008601213578,,,,,,,
4.9,0.9115737666,111.8355045,0.008151022972,,,,,,,
5,0.9030229938,116.8122499,0.007730550475,,,,,,,
5.1,0.8947685933,121.9475281,0.007337324564,,,,,,,
5.2,0.8867943481,127.2462459,0.006969119931,,,,,,,
5.3,0.8790852312,132.7135615,0.006623929171,,,,,,,
5.4,0.8716272971,138.3548977,0.006299938144,,,,,,,
5.5,0.8644075854,144.1759552,0.005995504481,,,,,,,
5.6,0.8574140339,150.1827271,0.005709138797,,,,,,,
5.7,0.8506354018,156.3815137,0.00543948822,,,,,,,
5.8,0.8440611998,162.7789384,0.005185321933,,,,,,,
5.9,0.8376816277,169.3819641,0.004945518444,,,,,,,
6,0.831487518,176.1979108,0.004719054354,,,,,,,
6.1,0.825470285,183.2344736,0.004504994442,,,,,,,
6.2,0.8196218791,190.4997423,0.004302482876,,,,,,,
6.3,0.8139347447,198.0022215,0.004110735418,,,,,,,
6.4,0.8084017826,205.7508517,0.003929032496,,,,,,,
6.5,0.8030163157,213.755032,0.003756713038,,,,,,,
6.6,0.7977720574,222.0246432,0.003593168964,,,,,,,
6.7,0.7926630835,230.5700728,0.003437840279,,,,,,,
6.8,0.7876838057,239.4022409,0.003290210663,,,,,,,
6.9,0.7828289482,248.5326273,0.003149803536,,,,,,,
7,0.7780935254,257.9733006,0.00301617851,,,,,,,
7.1,0.7734728225,267.7369481,0.002888928211,,,,,,,
7.2,0.7689623766,277.8369076,0.002767675408,,,,,,,
7.3,0.7645579604,288.2872007,0.00265207043,,,,,,,
7.4,0.7602555659,299.1025679,0.002541788829,,,,,,,
7.5,0.7560513911,310.2985056,0.002436529269,,,,,,,
7.6,0.7519418259,321.8913045,0.002336011615,,,,,,,
7.7,0.7479234404,333.8980906,0.002239975194,,,,,,,
7.8,0.7439929736,346.3368682,0.002148177228,,,,,,,
7.9,0.7401473228,359.2265644,0.002060391397,,,,,,,
8,0.7363835343,372.5870769,0.001976406537,,,,,,,
8.1,0.7326987942,386.4393234,0.001896025456,,,,,,,
8.2,0.7290904199,400.8052943,0.001819063846,,,,,,,
8.3,0.7255558529,415.7081072,0.001745349297,,,,,,,
8.4,0.7220926512,431.1720653,0.001674720394,,,,,,,
8.5,0.7186984828,447.2227176,0.001607025883,,,,,,,
8.6,0.7153711196,463.8869231,0.001542123918,,,,,,,
8.7,0.7121084313,481.1929179,0.001479881363,,,,,,,
8.8,0.7089083802,499.1703857,0.001420173152,,,,,,,
8.9,0.7057690161,517.8505323,0.001362881704,,,,,,,
9,0.7026884717,537.2661633,0.001307896383,,,,,,,
9.1,0.6996649579,557.4517664,0.001255112998,,,,,,,
9.2,0.6966967599,578.4435974,0.00120443335,,,,,,,
9.3,0.6937822333,600.279771,0.001155764806,,,,,,,
9.4,0.6909198003,623.0003561,0.001109019912,,,,,,,
9.5,0.6881079466,646.6474761,0.001064116032,,,,,,,
9.6,0.685345218,671.265414,0.001020975018,,,,,,,
9.7,0.6826302172,696.9007231,0.0009795228998,,,,,,,
9.8,0.6799616014,723.6023438,0.0009396896061,,,,,,,
9.9,0.6773380795,751.4217255,0.0009014086983,,,,,,,