Mass (kg),Separation (m),Eccentricity,Harmonic Frequencies (Hz)
1.40E+30,1000000000,0,"[9.730093351955453e-05, 0.00019460186703910905, 0.00029190280055866355, 0.0003892037340782181, 0.00048650466759777265]"
1.40E+30,1000000000,0.3,"[0.00011208691561256752, 0.00022417383122513504, 0.0003362607468377026, 0.0004483476624502701, 0.0005604345780628376]"
1.40E+30,1000000000,0.6,"[0.00019004088578037994, 0.0003800817715607599, 0.0005701226573411398, 0.0007601635431215198, 0.0009502044289018997]"
1.40E+30,1000000000,0.9,"[0.0011748613194568081, 0.0023497226389136163, 0.0035245839583704242, 0.004699445277827233, 0.005874306597284041]"
1.40E+30,5000000000,0,"[8.702860064956471e-06, 1.7405720129912943e-05, 2.6108580194869414e-05, 3.4811440259825886e-05, 4.3514300324782354e-05]"
1.40E+30,5000000000,0.3,"[1.0025358507919338e-05, 2.0050717015838677e-05, 3.0076075523758015e-05, 4.010143403167735e-05, 5.0126792539596695e-05]"
1.40E+30,5000000000,0.6,"[1.699777356436811e-05, 3.399554712873622e-05, 5.099332069310433e-05, 6.799109425747244e-05, 8.498886782184055e-05]"
1.40E+30,5000000000,0.9,"[0.00010508279097762077, 0.00021016558195524154, 0.0003152483729328623, 0.0004203311639104831, 0.0005254139548881039]"
1.40E+30,10000000000,0,"[3.076925683824159e-06, 6.153851367648318e-06, 9.230777051472478e-06, 1.2307702735296636e-05, 1.5384628419120794e-05]"
1.40E+30,10000000000,0.3,"[3.544499492388006e-06, 7.088998984776012e-06, 1.0633498477164017e-05, 1.4177997969552023e-05, 1.772249746194003e-05]"
1.40E+30,10000000000,0.6,"[6.009620476219061e-06, 1.2019240952438121e-05, 1.8028861428657184e-05, 2.4038481904876243e-05, 3.0048102381095302e-05]"
1.40E+30,10000000000,0.9,"[3.7152377043142096e-05, 7.430475408628419e-05, 0.00011145713112942629, 0.00014860950817256838, 0.00018576188521571047]"
2.80E+30,1000000000,0,"[0.0001376042998149169, 0.0002752085996298338, 0.0004128128994447507, 0.0005504171992596676, 0.0006880214990745844]"
2.80E+30,1000000000,0.3,"[0.0001585148362238616, 0.0003170296724477232, 0.0004755445086715848, 0.0006340593448954464, 0.000792574181119308]"
2.80E+30,1000000000,0.6,"[0.00026875839807600956, 0.0005375167961520191, 0.0008062751942280287, 0.0010750335923040383, 0.001343791990380048]"
2.80E+30,1000000000,0.9,"[0.0016615048118833672, 0.0033230096237667345, 0.004984514435650102, 0.006646019247533469, 0.008307524059416836]"
2.80E+30,5000000000,0,"[1.2307702735296636e-05, 2.4615405470593272e-05, 3.692310820588991e-05, 4.9230810941186545e-05, 6.153851367648318e-05]"
2.80E+30,5000000000,0.3,"[1.4177997969552023e-05, 2.8355995939104047e-05, 4.253399390865607e-05, 5.6711991878208094e-05, 7.088998984776012e-05]"
2.80E+30,5000000000,0.6,"[2.4038481904876243e-05, 4.8076963809752486e-05, 7.211544571462874e-05, 9.615392761950497e-05, 0.00012019240952438121]"
2.80E+30,5000000000,0.9,"[0.00014860950817256838, 0.00029721901634513677, 0.00044582852451770515, 0.0005944380326902735, 0.0007430475408628419]"
2.80E+30,10000000000,0,"[4.351430032478236e-06, 8.702860064956471e-06, 1.3054290097434707e-05, 1.7405720129912943e-05, 2.1757150162391177e-05]"
2.80E+30,10000000000,0.3,"[5.012679253959669e-06, 1.0025358507919338e-05, 1.5038037761879008e-05, 2.0050717015838677e-05, 2.5063396269798348e-05]"
2.80E+30,10000000000,0.6,"[8.498886782184055e-06, 1.699777356436811e-05, 2.5496660346552167e-05, 3.399554712873622e-05, 4.249443391092027e-05]"
2.80E+30,10000000000,0.9,"[5.2541395488810386e-05, 0.00010508279097762077, 0.00015762418646643114, 0.00021016558195524154, 0.00026270697744405194]"