,start_prime,end_prime,phi_correlation,silver_correlation,plastic_correlation
0,2,233,0.2924529107,0.2924529107,0.2924529107
1,3,239,0.2493424398,0.2493424398,0.2493424398
2,5,241,0.1639611271,0.1639611271,0.1639611271
3,7,251,0.1736762913,0.1736762913,0.1736762913
4,11,257,0.1927412904,0.1927412904,0.1927412904
5,13,263,0.1710382737,0.1710382737,0.1710382737
6,17,269,0.1867535425,0.1867535425,0.1867535425
7,19,271,0.09304133373,0.09304133373,0.09304133373
8,23,277,0.10800096,0.10800096,0.10800096
9,29,281,0.1236417243,0.1236417243,0.1236417243
10,31,283,0.02992951555,0.02992951555,0.02992951555
11,37,293,0.09928144026,0.09928144026,0.09928144026
12,41,307,0.1567860395,0.1567860395,0.1567860395
13,43,311,0.1052757444,0.1052757444,0.1052757444
14,47,313,0.04998165531,0.04998165531,0.04998165531
15,53,317,0.06143915352,0.06143915352,0.06143915352
16,59,331,0.1401004375,0.1401004375,0.1401004375
17,61,337,0.111336388,0.111336388,0.111336388
18,67,347,0.1677170381,0.1677170381,0.1677170381
19,71,349,0.1108305552,0.1108305552,0.1108305552
20,73,353,0.05785471047,0.05785471047,0.05785471047
21,79,359,0.08654772168,0.08654772168,0.08654772168
22,83,367,0.1071164419,0.1071164419,0.1071164419
23,89,373,0.1340681858,0.1340681858,0.1340681858
24,97,379,0.1784085904,0.1784085904,0.1784085904
25,101,383,0.1607041024,0.1607041024,0.1607041024
26,103,389,0.1279640601,0.1279640601,0.1279640601
27,107,397,0.1453347575,0.1453347575,0.1453347575
28,109,401,0.08496510684,0.08496510684,0.08496510684
29,113,409,0.09975668663,0.09975668663,0.09975668663
30,127,419,0.2029588358,0.2029588358,0.2029588358
31,131,421,0.135042264,0.135042264,0.135042264
32,137,431,0.1848842591,0.1848842591,0.1848842591
33,139,433,0.08245097903,0.08245097903,0.08245097903
34,149,439,0.135676267,0.135676267,0.135676267
35,151,443,0.07364808614,0.07364808614,0.07364808614
36,157,449,0.09600209881,0.09600209881,0.09600209881
37,163,457,0.1341479611,0.1341479611,0.1341479611
38,167,461,0.108443389,0.108443389,0.108443389
39,173,463,0.06582066904,0.06582066904,0.06582066904
40,179,467,0.0667752061,0.0667752061,0.0667752061
41,181,479,0.06617185851,0.06617185851,0.06617185851
42,191,487,0.1334162597,0.1334162597,0.1334162597
43,193,491,0.06879121392,0.06879121392,0.06879121392
44,197,499,0.0806860714,0.0806860714,0.0806860714
45,199,503,0.01031221199,0.01031221199,0.01031221199
46,211,509,0.07127553971,0.07127553971,0.07127553971
47,223,521,0.1753482413,0.1753482413,0.1753482413
48,227,523,0.1005973288,0.1005973288,0.1005973288
49,229,541,0.1160490759,0.1160490759,0.1160490759
50,233,547,0.1067577002,0.1067577002,0.1067577002
51,239,557,0.1484180255,0.1484180255,0.1484180255
52,241,563,0.09857498901,0.09857498901,0.09857498901
53,251,569,0.141493761,0.141493761,0.141493761
54,257,571,0.08546992368,0.08546992368,0.08546992368
55,263,577,0.09930960636,0.09930960636,0.09930960636
56,269,587,0.1410492088,0.1410492088,0.1410492088
57,271,593,0.09099068364,0.09099068364,0.09099068364
58,277,599,0.1012312546,0.1012312546,0.1012312546
59,281,601,0.02171622284,0.02171622284,0.02171622284
60,283,607,-0.03294993412,-0.03294993412,-0.03294993412
61,293,613,0.007697474162,0.007697474162,0.007697474162
62,307,617,0.0478407561,0.0478407561,0.0478407561
63,311,619,-0.02998887585,-0.02998887585,-0.02998887585
64,313,631,-0.04180387318,-0.04180387318,-0.04180387318
65,317,641,-0.02519110132,-0.02519110132,-0.02519110132
66,331,643,-0.02917145958,-0.02917145958,-0.02917145958
67,337,647,-0.03964169132,-0.03964169132,-0.03964169132
68,347,653,0.006264263233,0.006264263233,0.006264263233
69,349,659,-0.04771848655,-0.04771848655,-0.04771848655
70,353,661,-0.1243391133,-0.1243391133,-0.1243391133
71,359,673,-0.06662050645,-0.06662050645,-0.06662050645
72,367,677,-0.06007405148,-0.06007405148,-0.06007405148
73,373,683,-0.04546020493,-0.04546020493,-0.04546020493
74,379,691,-0.01383816802,-0.01383816802,-0.01383816802
75,383,701,0.005183864832,0.005183864832,0.005183864832
76,389,709,0.03334002079,0.03334002079,0.03334002079
77,397,719,0.09052185334,0.09052185334,0.09052185334
78,401,727,0.09296117457,0.09296117457,0.09296117457
79,409,733,0.1192207275,0.1192207275,0.1192207275
80,419,739,0.1608387198,0.1608387198,0.1608387198
81,421,743,0.08350778556,0.08350778556,0.08350778556
82,431,751,0.142816047,0.142816047,0.142816047
83,433,757,0.08659646904,0.08659646904,0.08659646904
84,439,761,0.06839943666,0.06839943666,0.06839943666
85,443,769,0.06843579706,0.06843579706,0.06843579706
86,449,773,0.04964316721,0.04964316721,0.04964316721
87,457,787,0.1254743333,0.1254743333,0.1254743333
88,461,797,0.1362009037,0.1362009037,0.1362009037
89,463,809,0.1153553405,0.1153553405,0.1153553405
90,467,811,0.02037216738,0.02037216738,0.02037216738
91,479,821,0.0955465701,0.0955465701,0.0955465701
92,487,823,0.04758454054,0.04758454054,0.04758454054
93,491,827,0.00425720644,0.00425720644,0.00425720644
94,499,829,-0.0364006418,-0.0364006418,-0.0364006418
95,503,839,-0.02340439658,-0.02340439658,-0.02340439658
96,509,853,0.02930154611,0.02930154611,0.02930154611
97,521,857,0.0509219995,0.0509219995,0.0509219995
98,523,859,-0.0676415012,-0.0676415012,-0.0676415012
99,541,863,-0.0210842625,-0.0210842625,-0.0210842625
100,547,877,0.03681855375,0.03681855375,0.03681855375
101,557,881,0.05204686499,0.05204686499,0.05204686499
102,563,883,-0.000213783607,-0.000213783607,-0.000213783607
103,569,887,-0.0103847244,-0.0103847244,-0.0103847244
104,571,907,0.005893283756,0.005893283756,0.005893283756
105,577,911,-0.008269102598,-0.008269102598,-0.008269102598
106,587,919,0.04478482427,0.04478482427,0.04478482427
107,593,929,0.08094565754,0.08094565754,0.08094565754
108,599,937,0.1040512131,0.1040512131,0.1040512131
109,601,941,0.02903078238,0.02903078238,0.02903078238
110,607,947,0.03496147902,0.03496147902,0.03496147902
111,613,953,0.04089217567,0.04089217567,0.04089217567
112,617,967,0.06901235326,0.06901235326,0.06901235326
113,619,971,-0.0118921154,-0.0118921154,-0.0118921154
114,631,977,0.03011079132,0.03011079132,0.03011079132
115,641,983,0.06371664543,0.06371664543,0.06371664543
116,643,991,0.02021479128,0.02021479128,0.02021479128
117,647,997,-0.003227356761,-0.003227356761,-0.003227356761
118,653,1009,0.03721111845,0.03721111845,0.03721111845
119,659,1013,0.01230069015,0.01230069015,0.01230069015
120,661,1019,-0.05602443347,-0.05602443347,-0.05602443347
121,673,1021,-0.07983977452,-0.07983977452,-0.07983977452
122,677,1031,-0.07320393909,-0.07320393909,-0.07320393909
123,683,1033,-0.1335238174,-0.1335238174,-0.1335238174
124,691,1039,-0.1153509545,-0.1153509545,-0.1153509545
125,701,1049,-0.05422725527,-0.05422725527,-0.05422725527
126,709,1051,-0.09441485132,-0.09441485132,-0.09441485132
127,719,1061,-0.0318550536,-0.0318550536,-0.0318550536
128,727,1063,-0.06872421874,-0.06872421874,-0.06872421874
129,733,1069,-0.06050148938,-0.06050148938,-0.06050148938
130,739,1087,0.006381671854,0.006381671854,0.006381671854
131,743,1091,-0.03090891081,-0.03090891081,-0.03090891081
132,751,1093,-0.0653169875,-0.0653169875,-0.0653169875
133,757,1097,-0.07735174734,-0.07735174734,-0.07735174734
134,761,1103,-0.08971641924,-0.08971641924,-0.08971641924
135,769,1109,-0.06632083124,-0.06632083124,-0.06632083124
136,773,1117,-0.06410988479,-0.06410988479,-0.06410988479
137,787,1123,-0.01189766504,-0.01189766504,-0.01189766504
138,797,1129,0.0254169839,0.0254169839,0.0254169839
139,809,1151,0.1376007628,0.1376007628,0.1376007628
140,811,1153,0.03288204683,0.03288204683,0.03288204683
141,821,1163,0.09491084676,0.09491084676,0.09491084676
142,823,1171,0.06185409232,0.06185409232,0.06185409232
143,827,1181,0.07250165854,0.07250165854,0.07250165854
144,829,1187,0.01837784683,0.01837784683,0.01837784683
145,839,1193,0.04906469407,0.04906469407,0.04906469407
146,853,1201,0.1167676956,0.1167676956,0.1167676956
147,857,1213,0.1347560894,0.1347560894,0.1347560894
148,859,1217,0.0549831985,0.0549831985,0.0549831985
149,863,1223,0.03242472686,0.03242472686,0.03242472686
150,877,1229,0.08266518238,0.08266518238,0.08266518238
151,881,1231,-0.001687085151,-0.001687085151,-0.001687085151
152,883,1237,-0.06346524177,-0.06346524177,-0.06346524177
153,887,1249,-0.04694278848,-0.04694278848,-0.04694278848
154,907,1259,0.05236507702,0.05236507702,0.05236507702
155,911,1277,0.08899709712,0.08899709712,0.08899709712
156,919,1279,0.03877852743,0.03877852743,0.03877852743
157,929,1283,0.04534631086,0.04534631086,0.04534631086
158,937,1289,0.0635510797,0.0635510797,0.0635510797
159,941,1291,-0.01764307409,-0.01764307409,-0.01764307409
160,947,1297,-0.01395405971,-0.01395405971,-0.01395405971
161,953,1301,-0.03195349913,-0.03195349913,-0.03195349913
162,967,1303,-0.03876014419,-0.03876014419,-0.03876014419
163,971,1307,-0.07405395523,-0.07405395523,-0.07405395523
164,977,1319,-0.0279864431,-0.0279864431,-0.0279864431
165,983,1321,-0.07662919141,-0.07662919141,-0.07662919141
166,991,1327,-0.05216433578,-0.05216433578,-0.05216433578
167,997,1361,0.04374251675,0.04374251675,0.04374251675
168,1009,1367,0.08514966853,0.08514966853,0.08514966853
169,1013,1373,0.07213853467,0.07213853467,0.07213853467
170,1019,1381,0.09239653436,0.09239653436,0.09239653436
171,1021,1399,0.09581701649,0.09581701649,0.09581701649
172,1031,1409,0.1477472618,0.1477472618,0.1477472618
173,1033,1423,0.1364013905,0.1364013905,0.1364013905
174,1039,1427,0.1138932105,0.1138932105,0.1138932105
175,1049,1429,0.08324769413,0.08324769413,0.08324769413
176,1051,1433,0.01124992355,0.01124992355,0.01124992355
177,1061,1439,0.03769889322,0.03769889322,0.03769889322
178,1063,1447,-0.002932807749,-0.002932807749,-0.002932807749
179,1069,1451,-0.02463062216,-0.02463062216,-0.02463062216
180,1087,1453,-0.02303637876,-0.02303637876,-0.02303637876
181,1091,1459,-0.04040868301,-0.04040868301,-0.04040868301
182,1093,1471,-0.06088127427,-0.06088127427,-0.06088127427
183,1097,1481,-0.05688969172,-0.05688969172,-0.05688969172
184,1103,1483,-0.1122650168,-0.1122650168,-0.1122650168
185,1109,1487,-0.1321349705,-0.1321349705,-0.1321349705
186,1117,1489,-0.1672737725,-0.1672737725,-0.1672737725
187,1123,1493,-0.1830606619,-0.1830606619,-0.1830606619